method,tau_or_theta,success,cost_per_run,frontier_fraction,p50_ms,p99_ms
cascade,0.0000,0.4286,0.000075,0.0000,2147.9,6492.6
cascade,0.7333,0.4286,0.000075,0.0000,2147.9,6492.6
cascade,0.8000,0.4388,0.000238,0.0204,2182.8,8582.5
cascade,0.8667,0.4694,0.000997,0.1327,2248.8,12974.5
cascade,0.9333,0.6224,0.003556,0.5000,3636.1,12974.5
cascade,0.9333,0.6327,0.005755,0.8061,4567.3,14565.0
cascade,1.0000,0.6633,0.006496,0.9184,4931.2,15148.7
cascade,1.0100,0.6633,0.007035,1.0000,5030.7,15148.7
upfront,-0.0100,0.6633,0.006960,1.0000,2581.3,11092.3
upfront,0.0051,0.6633,0.006960,1.0000,2581.3,11092.3
upfront,0.0823,0.6633,0.006880,0.9898,2581.3,11092.3
upfront,0.0844,0.6531,0.006812,0.9796,2525.7,11092.3
upfront,0.0920,0.6531,0.006732,0.9694,2525.7,11092.3
upfront,0.1173,0.6531,0.006657,0.9592,2525.7,11092.3
upfront,0.1187,0.6531,0.006593,0.9490,2525.7,11092.3
upfront,0.1484,0.6531,0.006522,0.9388,2525.7,11092.3
upfront,0.1543,0.6429,0.006448,0.9286,2455.2,11092.3
upfront,0.1612,0.6327,0.006380,0.9184,2455.2,11092.3
upfront,0.1634,0.6224,0.006319,0.9082,2455.2,11092.3
upfront,0.2059,0.6122,0.006239,0.8980,2441.5,11092.3
upfront,0.2465,0.6122,0.006162,0.8878,2441.5,11092.3
upfront,0.2645,0.6122,0.006097,0.8776,2441.5,11092.3
upfront,0.3066,0.6122,0.006018,0.8673,2433.9,11092.3
upfront,0.3192,0.6122,0.005937,0.8571,2433.9,11092.3
upfront,0.3218,0.6122,0.005864,0.8469,2433.9,11092.3
upfront,0.3337,0.6020,0.005786,0.8367,2423.3,11092.3
upfront,0.3465,0.6020,0.005713,0.8265,2423.3,11092.3
upfront,0.3756,0.6020,0.005646,0.8163,2433.9,11092.3
upfront,0.3757,0.6020,0.005579,0.8061,2423.3,11092.3
upfront,0.3780,0.6020,0.005504,0.7959,2422.5,11092.3
upfront,0.3829,0.5918,0.005441,0.7857,2422.5,11092.3
upfront,0.3945,0.5918,0.005355,0.7755,2349.1,11092.3
upfront,0.3952,0.5918,0.005283,0.7653,2337.1,11092.3
upfront,0.4008,0.5816,0.005206,0.7551,2337.1,11092.3
upfront,0.4089,0.5816,0.005134,0.7449,2334.2,11092.3
upfront,0.4165,0.5816,0.005067,0.7347,2334.2,11092.3
upfront,0.4516,0.5816,0.005001,0.7245,2334.2,11092.3
upfront,0.4521,0.5816,0.004933,0.7143,2323.9,11092.3
upfront,0.4540,0.5816,0.004861,0.7041,2303.7,11092.3
upfront,0.4596,0.5714,0.004782,0.6939,2302.8,11092.3
upfront,0.4617,0.5612,0.004719,0.6837,2302.5,11092.3
upfront,0.4650,0.5612,0.004659,0.6735,2266.1,11092.3
upfront,0.4789,0.5612,0.004580,0.6633,2302.5,11092.3
upfront,0.4789,0.5612,0.004518,0.6531,2302.5,11092.3
upfront,0.4872,0.5612,0.004453,0.6429,2302.5,11092.3
upfront,0.4913,0.5612,0.004378,0.6327,2266.1,11092.3
upfront,0.4968,0.5612,0.004316,0.6224,2263.6,11092.3
upfront,0.5004,0.5612,0.004242,0.6122,2263.6,11092.3
upfront,0.5019,0.5612,0.004165,0.6020,2252.2,11092.3
upfront,0.5102,0.5612,0.004091,0.5918,2252.2,11092.3
upfront,0.5113,0.5510,0.004030,0.5816,2252.2,11092.3
upfront,0.5116,0.5510,0.003957,0.5714,2252.2,11092.3
upfront,0.5121,0.5408,0.003897,0.5612,2263.6,11092.3
upfront,0.5156,0.5408,0.003832,0.5510,2263.6,11092.3
upfront,0.5584,0.5408,0.003756,0.5408,2263.6,11092.3
upfront,0.5588,0.5408,0.003676,0.5306,2252.2,11092.3
upfront,0.5694,0.5408,0.003608,0.5204,2263.6,11092.3
upfront,0.5827,0.5408,0.003537,0.5102,2252.2,11092.3
upfront,0.5830,0.5408,0.003468,0.5000,2241.5,11092.3
upfront,0.5852,0.5408,0.003394,0.4898,2241.5,11092.3
upfront,0.5881,0.5408,0.003331,0.4796,2241.5,11092.3
upfront,0.5891,0.5408,0.003257,0.4694,2241.5,11092.3
upfront,0.5990,0.5408,0.003172,0.4592,2252.2,11092.3
upfront,0.6036,0.5408,0.003112,0.4490,2252.2,11092.3
upfront,0.6162,0.5408,0.003049,0.4388,2252.2,11092.3
upfront,0.6302,0.5306,0.002983,0.4286,2263.6,11092.3
upfront,0.6358,0.5204,0.002917,0.4184,2263.6,11092.3
upfront,0.6366,0.5204,0.002850,0.4082,2252.2,11092.3
upfront,0.6378,0.5204,0.002789,0.3980,2252.2,11092.3
upfront,0.6389,0.5204,0.002711,0.3878,2252.2,11092.3
upfront,0.6486,0.5204,0.002648,0.3776,2241.5,11092.3
upfront,0.6500,0.5102,0.002565,0.3673,2241.1,11092.3
upfront,0.6525,0.5102,0.002487,0.3571,2241.1,11092.3
upfront,0.6555,0.5102,0.002422,0.3469,2241.1,11092.3
upfront,0.6579,0.5102,0.002359,0.3367,2236.8,11092.3
upfront,0.6613,0.5102,0.002282,0.3265,2236.8,8684.8
upfront,0.6646,0.5000,0.002198,0.3163,2241.1,8684.8
upfront,0.6733,0.5000,0.002132,0.3061,2241.1,8684.8
upfront,0.6790,0.5000,0.002070,0.2959,2241.1,8684.8
upfront,0.6826,0.5000,0.002009,0.2857,2236.8,7689.5
upfront,0.6848,0.5000,0.001940,0.2755,2232.2,7689.5
upfront,0.6956,0.5000,0.001877,0.2653,2232.2,7689.5
upfront,0.6956,0.5000,0.001816,0.2551,2232.2,7689.5
upfront,0.7029,0.5000,0.001748,0.2449,2232.2,7689.5
upfront,0.7125,0.5000,0.001667,0.2347,2232.2,7689.5
upfront,0.7207,0.4898,0.001605,0.2245,2232.2,7689.5
upfront,0.7210,0.4796,0.001540,0.2143,2199.9,7689.5
upfront,0.7220,0.4694,0.001470,0.2041,2199.9,7689.5
upfront,0.7327,0.4694,0.001395,0.1939,2199.9,7689.5
upfront,0.7493,0.4694,0.001333,0.1837,2194.3,7689.5
upfront,0.7601,0.4592,0.001267,0.1735,2194.3,7689.5
upfront,0.7605,0.4592,0.001202,0.1633,2189.5,7689.5
upfront,0.7679,0.4490,0.001137,0.1531,2194.3,7689.5
upfront,0.7814,0.4490,0.001075,0.1429,2194.3,7689.5
upfront,0.7839,0.4490,0.001014,0.1327,2194.3,7689.5
upfront,0.8127,0.4490,0.000935,0.1224,2189.5,6493.6
upfront,0.8189,0.4490,0.000871,0.1122,2189.5,6493.6
upfront,0.8409,0.4490,0.000792,0.1020,2194.3,6493.6
upfront,0.8458,0.4490,0.000730,0.0918,2189.5,6493.6
upfront,0.8527,0.4490,0.000645,0.0816,2189.5,6493.6
upfront,0.8697,0.4490,0.000576,0.0714,2189.5,6493.6
upfront,0.8780,0.4490,0.000507,0.0612,2189.5,6493.6
upfront,0.8826,0.4490,0.000433,0.0510,2185.2,6493.6
upfront,0.8849,0.4490,0.000366,0.0408,2185.2,6493.6
upfront,0.8988,0.4388,0.000293,0.0306,2185.2,6493.6
upfront,0.9052,0.4388,0.000212,0.0204,2183.8,6493.6
upfront,0.9105,0.4286,0.000143,0.0102,2183.8,6493.6
upfront,1.0100,0.4286,0.000075,0.0000,2148.9,6493.6
